downtime_id,batch_id,machine_id,production_date,start_ts,end_ts,duration_minutes,reported_duration_minutes,reported_reason_code,reported_reason_label,true_reason_code,true_reason_label,was_logged
D60821c2a2c15-0,B60821c2a2c15,1,2021-01-02,2021-01-02 02:00:00.000000000,2021-01-02 02:01:13.980920926,1.23,1.23,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-1,B60821c2a2c15,1,2021-01-02,2021-01-02 02:01:13.980920926,2021-01-02 02:01:57.214442901,0.72,0.72,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-2,B60821c2a2c15,1,2021-01-02,2021-01-02 02:01:57.214442901,2021-01-02 02:03:35.596382146,1.64,1.64,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-3,B60821c2a2c15,1,2021-01-02,2021-01-02 02:03:35.596382147,2021-01-02 02:04:58.658905669,1.38,1.38,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-4,B60821c2a2c15,1,2021-01-02,2021-01-02 02:04:58.658905670,2021-01-02 02:06:24.684185937,1.43,1.43,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-5,B60821c2a2c15,1,2021-01-02,2021-01-02 02:06:24.684185937,2021-01-02 02:08:00.017943999,1.59,1.59,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-6,B60821c2a2c15,1,2021-01-02,2021-01-02 02:08:00.017944000,2021-01-02 02:09:45.835180209,1.76,1.76,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D60821c2a2c15-7,B60821c2a2c15,1,2021-01-02,2021-01-02 02:09:45.835180209,2021-01-02 02:10:32.056406322,0.77,0.77,06,Micro-stop (never logged),06,Micro-stop (never logged),False
D78018bde5ac2-0,B78018bde5ac2,2,2021-01-02,2021-01-02 02:20:25.490196078,2021-01-02 02:27:22.551941100,6.95,5.0,99,Other,01,Changeover / SMED,True
D24909d7f809f-0,B24909d7f809f,1,2021-01-02,2021-01-02 05:54:30.588235294,2021-01-02 06:06:28.969236382,11.97,10.0,01,Changeover / SMED,01,Changeover / SMED,True
