batch_id,production_date,product_id,machine_id,planned_units,loads_used,scheduled_start_ts,scheduled_end_ts,planned_production_minutes,actual_start_ts,actual_end_ts,run_time_minutes,good_units,scrap_units
B60821c2a2c15,2021-01-02,1,1,598,6.6444,2021-01-02 02:00:00.000000000,2021-01-02 05:54:30.588235294,234.51,2021-01-02 02:00:00.000000000,2021-01-02 05:54:30.588235294,223.98,596,24
B2ff99fa58a4d,2021-01-02,2,2,250,0.8681,2021-01-02 02:00:00.000000000,2021-01-02 02:20:25.490196078,20.42,2021-01-02 02:00:00.000000000,2021-01-02 02:20:25.490196078,20.42,242,23
B78018bde5ac2,2021-01-02,3,2,186,0.8611,2021-01-02 02:20:25.490196078,2021-01-02 02:41:41.966693926,21.27,2021-01-02 02:20:25.490196078,2021-01-02 02:41:41.966693926,14.32,129,8
B24909d7f809f,2021-01-02,5,1,164,1.8222,2021-01-02 05:54:30.588235294,2021-01-02 06:58:49.411764705,64.31,2021-01-02 05:54:30.588235294,2021-01-02 06:58:49.411764705,46.54,116,7
B5bfffdd07723,2021-01-02,4,1,150,1.6667,2021-01-02 06:58:49.411764705,2021-01-02 07:57:38.823529410,58.82,2021-01-02 06:58:49.411764705,2021-01-02 07:57:38.823529410,49.11,118,8
B14d56c555e9f,2021-01-02,6,1,70,0.7778,2021-01-02 07:57:38.823529411,2021-01-02 08:26:55.686274509,29.28,2021-01-02 07:57:38.823529411,2021-01-02 08:26:55.686274509,17.24,39,2
B4d097fc2073f,2021-01-02,9,1,44,1.2222,2021-01-02 08:26:55.686274509,2021-01-02 09:25:53.137701549,58.96,2021-01-02 08:26:55.686274509,2021-01-02 09:25:53.137701549,47.05,35,1
Bcb34091e04dc,2021-01-02,10,1,38,1.4074,2021-01-02 09:25:53.137701549,2021-01-02 10:45:21.765152529,79.48,2021-01-02 09:25:53.137701549,2021-01-02 10:45:21.765152529,64.41,26,2
Be1305172b431,2021-01-02,13,1,38,1.4074,2021-01-02 10:45:21.765152530,2021-01-02 12:01:31.361304449,76.16,2021-01-02 10:45:21.765152530,2021-01-02 12:01:31.361304449,63.63,33,2
Ba518dc3d9461,2021-01-02,14,1,32,1.1852,2021-01-02 12:01:31.361304449,2021-01-02 13:08:27.047578958,66.93,2021-01-02 12:01:31.361304449,2021-01-02 13:08:27.047578958,59.02,25,2
Bd38012390fc2,2021-01-02,16,1,32,1.1852,2021-01-02 13:08:27.047578959,2021-01-02 14:15:22.733853468,66.93,2021-01-02 13:08:27.047578959,2021-01-02 14:15:22.733853468,60.89,28,1
B6a6b590a2ddf,2021-01-02,7,1,30,1.1111,2021-01-02 14:15:22.733853468,2021-01-02 15:15:30.309762877,60.13,2021-01-02 14:15:22.733853468,2021-01-02 15:15:30.309762877,54.17,26,1
B527274e88589,2021-01-02,19,1,22,0.4889,2021-01-02 15:15:30.309762878,2021-01-02 15:37:21.730883050,21.86,2021-01-02 15:15:30.309762878,2021-01-02 15:37:21.730883050,8.38,8,0
Ba87a5b286bef,2021-01-02,22,1,20,0.4444,2021-01-02 15:37:21.730883050,2021-01-02 15:57:13.931901388,19.87,2021-01-02 15:37:21.730883050,2021-01-02 15:57:13.931901388,7.02,7,0
B9c1b12c7f053,2021-01-02,21,2,20,0.0926,2021-01-02 02:41:41.966693927,2021-01-02 02:44:05.757765500,2.4,2021-01-02 02:41:41.966693927,2021-01-02 02:44:05.757765500,0.36,3,0
B95a2f1658bbd,2021-01-02,25,1,20,0.4444,2021-01-02 15:57:13.931901389,2021-01-02 16:17:06.132919727,19.87,2021-01-02 15:57:13.931901389,2021-01-02 16:17:06.132919727,12.81,13,1
B563593f51c41,2021-01-02,18,1,18,0.3333,2021-01-02 16:17:06.132919727,2021-01-02 16:30:26.167489121,13.33,2021-01-02 16:17:06.132919727,2021-01-02 16:30:26.167489121,8.67,11,1
B0929ed9449fa,2021-01-02,23,2,18,0.0833,2021-01-02 02:44:05.757765500,2021-01-02 02:46:38.699414012,2.55,2021-01-02 02:44:05.757765500,2021-01-02 02:46:38.699414012,0.38,2,0
B509fdc06db92,2021-01-02,26,2,8,0.0556,2021-01-02 02:46:38.699414012,2021-01-02 02:48:12.817061070,1.57,2021-01-02 02:46:38.699414012,2021-01-02 02:48:12.817061070,0.24,1,0
Be9c084743e6c,2021-01-02,20,3,4,0.0,2021-01-02 02:00:00.000000000,2021-01-02 02:04:42.352941176,4.71,2021-01-02 02:00:00.000000000,2021-01-02 02:04:42.352941176,4.71,4,0
B984be4f8ec92,2021-01-04,1,1,256,2.8444,2021-01-04 02:00:00.000000000,2021-01-04 03:40:23.529411764,100.39,2021-01-04 02:00:00.000000000,2021-01-04 03:40:23.529411764,97.22,218,17
Bc11e445cc33a,2021-01-04,5,1,60,0.6667,2021-01-04 03:40:23.529411764,2021-01-04 04:03:55.294117646,23.53,2021-01-04 03:40:23.529411764,2021-01-04 04:03:55.294117646,3.53,8,0
B947bbb12ca98,2021-01-04,4,1,48,0.5333,2021-01-04 04:03:55.294117647,2021-01-04 04:22:44.705882352,18.82,2021-01-04 04:03:55.294117647,2021-01-04 04:22:44.705882352,10.36,25,1
B0e07eb44cff6,2021-01-04,2,2,34,0.1181,2021-01-04 02:00:00.000000000,2021-01-04 02:02:46.666666666,2.78,2021-01-04 02:00:00.000000000,2021-01-04 02:02:46.666666666,2.78,33,2
